word,category,sources
Congress,Political,voa_special_english
FALSE,Mathematics,"globish, voa_special_english"
God,People,upgoer5
I,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
I'd,People,upgoer5
I'll,People,upgoer5
I'm,People,upgoer5
I've,People,upgoer5
Internet,Business,voa_special_english
Mr.,People,upgoer5
Mrs.,People,upgoer5
Senate,Political,voa_special_english
TRUE,Mathematics,"globish, upgoer5, voa_special_english"
Web site,Business,voa_special_english
a,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
able,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
about,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
above,Direction,"globish, upgoer5, voa_special_english"
abuse,People,voa_special_english
accept,Business,"globish, upgoer5, voa_special_english"
accident,Transport,voa_special_english
according (to),Direction,globish
account,Business,"globish, ogdens_basic_english"
accuse,Political,"globish, voa_special_english"
achieve,Business,globish
acid,Materials,ogdens_basic_english
across,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
act,Political,"globish, ogdens_basic_english, upgoer5, voa_special_english"
activist,Political,voa_special_english
actor,People,voa_special_english
adapt,Nature,globish
add,Mathematics,"globish, upgoer5, voa_special_english"
addition,Mathematics,ogdens_basic_english
adjustment,Business,ogdens_basic_english
administration,Political,voa_special_english
admit,Education,"globish, upgoer5, voa_special_english"
adult,People,"globish, voa_special_english"
advertise,Business,voa_special_english
advertisement,Business,"globish, ogdens_basic_english"
advise,Business,"globish, voa_special_english"
affect,Business,"globish, voa_special_english"
afraid,People,"globish, upgoer5, voa_special_english"
after,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
afternoon,Time,upgoer5
again,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
against,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
age,Time,"globish, upgoer5, voa_special_english"
agency,Business,"globish, voa_special_english"
aggression,War,voa_special_english
ago,Time,"globish, upgoer5, voa_special_english"
agree,Political,"globish, upgoer5, voa_special_english"
agreement,Business,ogdens_basic_english
agriculture,Agriculture,voa_special_english
ah,Nature,upgoer5
ahead,Direction,"globish, upgoer5"
aid,Political,"globish, voa_special_english"
aim,Business,"globish, voa_special_english"
air,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
air force,War,voa_special_english
airplane,Transport,voa_special_english
airport,Transport,voa_special_english
album,Business,voa_special_english
alcohol,Food/Drink,voa_special_english
alive,Nature,"globish, voa_special_english"
all,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
allow,Business,"globish, upgoer5"
ally,People,"globish, voa_special_english"
almost,Mathematics,"globish, ogdens_basic_english, upgoer5, voa_special_english"
alone,People,"globish, upgoer5, voa_special_english"
along,Direction,"globish, upgoer5, voa_special_english"
already,Time,"globish, upgoer5, voa_special_english"
also,Mathematics,"globish, upgoer5"
although,Mathematics,"globish, upgoer5"
always,Time,"globish, upgoer5, voa_special_english"
am,Time,upgoer5
amaze,Visual,upgoer5
ambassador,Political,voa_special_english
amend,Political,voa_special_english
ammunition,War,voa_special_english
among,Mathematics,"globish, ogdens_basic_english, voa_special_english"
amount,Mathematics,"globish, ogdens_basic_english, voa_special_english"
amusement,Business,ogdens_basic_english
an,Nature,upgoer5
anarchy,Political,voa_special_english
ancestor,People,voa_special_english
ancient,Time,voa_special_english
and,Mathematics,"globish, ogdens_basic_english, voa_special_english"
anger,People,"globish, upgoer5, voa_special_english"
angle,Mathematics,"globish, ogdens_basic_english"
angry,People,"ogdens_basic_english, upgoer5"
animal,Animals,"ogdens_basic_english, upgoer5, voa_special_english"
anniversary,Time,voa_special_english
announce,Business,"globish, voa_special_english"
annoy,People,upgoer5
another,Mathematics,"globish, upgoer5"
answer,Education,"globish, ogdens_basic_english, upgoer5"
ant,Animals,ogdens_basic_english
any,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
anymore,Time,upgoer5
anyone,People,upgoer5
anything,Nature,upgoer5
anyway,Direction,upgoer5
apartment,Buildings,"globish, upgoer5"
apologize,People,"globish, voa_special_english"
apparatus,Tools,ogdens_basic_english
apparently,Visual,upgoer5
appeal,Business,"globish, voa_special_english"
appear,Visual,"globish, upgoer5, voa_special_english"
apple,Food/Drink,"globish, ogdens_basic_english"
apply,Business,globish
appoint,Business,"globish, voa_special_english"
approach,Direction,upgoer5
approval,Business,ogdens_basic_english
approve,Business,"globish, voa_special_english"
arch,Buildings,ogdens_basic_english
archeology,Education,voa_special_english
are,People,upgoer5
area,Mathematics,"globish, upgoer5, voa_special_english"
argue,Political,"globish, voa_special_english"
argument,Education,ogdens_basic_english
arm,Body Parts,"globish, ogdens_basic_english, upgoer5"
arms,Body Parts,voa_special_english
army,War,"globish, ogdens_basic_english, voa_special_english"
around,Direction,"globish, upgoer5, voa_special_english"
arrest,Political,"globish, voa_special_english"
arrive,Transport,"globish, upgoer5, voa_special_english"
art,Visual,"globish, ogdens_basic_english, voa_special_english"
artillery,War,voa_special_english
as,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
ash,Nature,voa_special_english
ask,Education,"globish, upgoer5, voa_special_english"
asleep,Time,upgoer5
ass,Body Parts,upgoer5
assist,Business,"globish, voa_special_english"
astronaut,People,voa_special_english
astronomy,Nature,voa_special_english
asylum,Political,voa_special_english
at,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
atmosphere,Nature,voa_special_english
attach,Agriculture,"globish, voa_special_english"
attack,War,"globish, ogdens_basic_english, upgoer5, voa_special_english"
attempt,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
attend,Education,"globish, voa_special_english"
attention,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
attraction,Visual,ogdens_basic_english
aunt,People,upgoer5
authority,Political,"globish, ogdens_basic_english"
automatic,Business,"globish, ogdens_basic_english"
automobile,Transport,voa_special_english
autumn,Time,"globish, voa_special_english"
available,Business,"globish, voa_special_english"
average,Mathematics,"globish, voa_special_english"
avoid,Business,"globish, upgoer5, voa_special_english"
awake,Time,"globish, ogdens_basic_english, voa_special_english"
award,Business,"globish, voa_special_english"
away,Direction,"globish, upgoer5, voa_special_english"
baby,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
back,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bad,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bag,Household,"globish, ogdens_basic_english, upgoer5"
balance,Business,"globish, ogdens_basic_english, voa_special_english"
ball,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
balloon,Transport,voa_special_english
ballot,Political,"globish, voa_special_english"
ban,Political,"globish, voa_special_english"
band,Tools,upgoer5
bank,Business,"globish, voa_special_english"
bar,Buildings,"globish, upgoer5, voa_special_english"
barely,Nature,upgoer5
barrier,Buildings,"globish, voa_special_english"
base,Buildings,"globish, ogdens_basic_english"
basin,Household,ogdens_basic_english
basket,Household,"globish, ogdens_basic_english"
bath,Household,"globish, ogdens_basic_english"
bathroom,Household,upgoer5
battle,War,"globish, voa_special_english"
be,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bear,Animals,globish
beat,Mathematics,"globish, upgoer5, voa_special_english"
beautiful,Visual,"ogdens_basic_english, upgoer5"
beauty,Visual,"globish, voa_special_english"
became,Time,upgoer5
because,Education,"globish, ogdens_basic_english, upgoer5, voa_special_english"
become,Nature,"globish, upgoer5, voa_special_english"
bed,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
bedroom,Household,upgoer5
bee,Animals,ogdens_basic_english
been,Time,upgoer5
beer,Food/Drink,globish
before,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
began,Time,upgoer5
begin,Time,"globish, upgoer5, voa_special_english"
behavior,People,"ogdens_basic_english, voa_special_english"
behind,Direction,"globish, upgoer5, voa_special_english"
belief,Education,ogdens_basic_english
believe,People,"globish, upgoer5, voa_special_english"
bell,Household,"globish, ogdens_basic_english, upgoer5"
belong,Household,"globish, voa_special_english"
below,Direction,"globish, voa_special_english"
bend,Visual,globish
bent,Visual,ogdens_basic_english
berry,Food/Drink,ogdens_basic_english
beside,Direction,"globish, upgoer5"
besides,Direction,upgoer5
best,Visual,"globish, upgoer5, voa_special_english"
betray,Political,"globish, voa_special_english"
better,Visual,"globish, upgoer5, voa_special_english"
between,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
big,Visual,"globish, upgoer5, voa_special_english"
