drain,Agriculture
fertile,Agriculture
seed,Agriculture
effect,Agriculture
farm,Agriculture
fruit,Agriculture
grain,Agriculture
plough/plow,Agriculture
animal,Animals
bee,Animals
bird,Animals
fish,Animals
fly,Animals
insect,Animals
monkey,Animals
pig,Animals
rat,Animals
sheep,Animals
sponge,Animals
worm,Animals
ant,Animals
cat,Animals
cow,Animals
dog,Animals
fowl,Animals
goat,Animals
horse,Animals
snake,Animals
arm,Body Parts
blood,Body Parts
chest,Body Parts
cough,Body Parts
ear,Body Parts
eye,Body Parts
feeling,Body Parts
finger,Body Parts
foot,Body Parts
hair,Body Parts
head,Body Parts
ill,Body Parts
lip,Body Parts
mouth,Body Parts
muscle,Body Parts
nail,Body Parts
neck,Body Parts
sense,Body Parts
skin,Body Parts
sleep,Body Parts
stretch,Body Parts
strong,Body Parts
thumb,Body Parts
toe,Body Parts
tongue,Body Parts
tooth,Body Parts
touch,Body Parts
wing,Body Parts
back,Body Parts
body,Body Parts
bone,Body Parts
brain,Body Parts
breath,Body Parts
chin,Body Parts
face,Body Parts
hand,Body Parts
hearing,Body Parts
heart,Body Parts
horn,Body Parts
kick,Body Parts
knee,Body Parts
leg,Body Parts
nerve,Body Parts
nose,Body Parts
pain,Body Parts
sneeze,Body Parts
stomach,Body Parts
tail,Body Parts
throat,Body Parts
voice,Body Parts
wound,Body Parts
arch,Buildings
building,Buildings
hospital,Buildings
prison,Buildings
roof,Buildings
wall,Buildings
window,Buildings
base,Buildings
church,Buildings
house,Buildings
town,Buildings
advertisement,Business
balance,Business
cause,Business
cheap,Business
company,Business
competition,Business
copy,Business
damage,Business
debt,Business
elastic,Business
exchange,Business
expansion,Business
give,Business
group,Business
growth,Business
interest,Business
let,Business
manager,Business
money,Business
net,Business
offer,Business
operation,Business
parcel,Business
paste,Business
price,Business
profit,Business
purpose,Business
send,Business
stamp,Business
store,Business
support,Business
system,Business
take,Business
tax,Business
trade,Business
account,Business
adjustment,Business
agreement,Business
amusement,Business
approval,Business
business,Business
card,Business
change,Business
condition,Business
connection,Business
control,Business
credit,Business
decision,Business
development,Business
get,Business
insurance,Business
invention,Business
join,Business
keep,Business
loss,Business
market,Business
meeting,Business
news,Business
office,Business
order,Business
organization,Business
payment,Business
property,Business
quality,Business
rate,Business
receipt,Business
record,Business
reward,Business
ticket,Business
use,Business
value,Business
work,Business
button,Clothes
glove,Clothes
pocket,Clothes
shirt,Clothes
skirt,Clothes
stocking,Clothes
trousers,Clothes
boot,Clothes
coat,Clothes
collar,Clothes
dress,Clothes
hat,Clothes
ring,Clothes
shoe,Clothes
sock,Clothes
stitch,Clothes
green,Color
grey/gray,Color
or,Color
orange,Color
red,Color
black,Color
blue,Color
brown,Color
color,Color
white,Color
yellow,Color
about,Direction
across,Direction
between,Direction
but,Direction
by,Direction
direction,Direction
down,Direction
east,Direction
for,Direction
forward,Direction
in,Direction
left,Direction
middle,Direction
near,Direction
no,Direction
off,Direction
on,Direction
out,Direction
over,Direction
push,Direction
put,Direction
right,Direction
side,Direction
south,Direction
stop,Direction
straight,Direction
there,Direction
top,Direction
under,Direction
up,Direction
way,Direction
west,Direction
where,Direction
with,Direction
against,Direction
come,Direction
drop,Direction
from,Direction
front,Direction
go,Direction
here,Direction
motion,Direction
move,Direction
north,Direction
opposite,Direction
position,Direction
pull,Direction
step,Direction
this,Direction
through,Direction
to,Direction
turn,Direction
a,Education
argument,Education
attention,Education
be,Education
belief,Education
book,Education
dependent,Education
discovery,Education
disgust,Education
education,Education
error,Education
example,Education
experience,Education
expert,Education
fact,Education
guide,Education
have,Education
important,Education
impulse,Education
jump,Education
language,Education
learning,Education
library,Education
list,Education
may,Education
mind,Education
music,Education
necessary,Education
need,Education
note,Education
opinion,Education
paint,Education
prose,Education
reading,Education
regular,Education
religion,Education
school,Education
stage,Education
statement,Education
stem,Education
story,Education
such,Education
suggestion,Education
teaching,Education
test,Education
theory,Education
thought,Education
verse,Education
why,Education
writing,Education
answer,Education
bad,Education
because,Education
doubt,Education
fiction,Education
history,Education
how,Education
idea,Education
knowledge,Education
letter,Education
medical,Education
memory,Education
observation,Education
question,Education
reaction,Education
reason,Education
science,Education
simple,Education
the,Education
wrong,Education
apple,Food/Drink
berry,Food/Drink
bread,Food/Drink
butter,Food/Drink
cook,Food/Drink
drink,Food/Drink
egg,Food/Drink
healthy,Food/Drink
meal,Food/Drink
milk,Food/Drink
nut,Food/Drink
potato,Food/Drink
produce,Food/Drink
rice,Food/Drink
roll,Food/Drink
salt,Food/Drink
soup,Food/Drink
sugar,Food/Drink
sweet,Food/Drink
taste,Food/Drink
bite,Food/Drink
bitter,Food/Drink
cake,Food/Drink
cheese,Food/Drink
fat,Food/Drink
food,Food/Drink
jelly,Food/Drink
meat,Food/Drink
shake,Food/Drink
water,Food/Drink
wine,Food/Drink
bag,Household
basin,Household
bath,Household
bell,Household
bottle,Household
bulb,Household
comfort,Household
cover,Household
cup,Household
curtain,Household
do,Household
drawer,Household
fork,Household
match,Household
needle,Household
pipe,Household
plate,Household
pot,Household
room,Household
rub,Household
shelf,Household
soap,Household
spoon,Household
table,Household
tray,Household
wash,Household
ball,Household
basket,Household
bed,Household
box,Household
bucket,Household
chain,Household
cushion,Household
door,Household
floor,Household
frame,Household
kettle,Household
lock,Household
loose,Household
oven,Household
pin,Household
umbrella,Household
FALSE,I do not have enough information to answer the query. Please provide the specific word or text from the spreadsheet that needs to be categorized.
TRUE,I do not have enough information to answer the query. Please provide the specific word or text from the spreadsheet that needs to be categorized.
though,"I do not have enough information to answer the query. The word ""though"" is a conjunction and adverb that does not fit into any of the provided categories (Color, Visual, Direction, Time, Animals, Food/Drink, Household, Clothes, Tools, Buildings, People, Body Parts, Materials, Transport, Business, Industry, Education, Political, War, Agriculture, Nature, Mathematics). Please provide a different set of categories or a different word."
sticky,I'm still learning and can't help with that. Do you need help with anything else?
electric,Industry
hole,Industry
lift,Industry
machine,Industry
mine,Industry
print,Industry
steam,Industry
automatic,Industry
chemical,Industry
crush,Industry
engine,Industry
industry,Industry
make,Industry
process,Industry
smash,Industry
structure,Industry
acid,Materials
brass,Materials
brick,Materials
chalk,Materials
cloth,Materials
copper,Materials
cord,Materials
cork,Materials
cotton,Materials
gold,Materials
hard,Materials
ink,Materials
iron,Materials
jewel,Materials
lead,Materials
leather,Materials
liquid,Materials
material,Materials
metal,Materials
paper,Materials
sand,Materials
silk,Materials
silver,Materials
soft,Materials
solid,Materials
substance,Materials
thing,Materials
thread,Materials
tin,Materials
wool,Materials
word,Materials
board,Materials
canvas,Materials
coal,Materials
glass,Materials
linen,Materials
oil,Materials
powder,Materials
steel,Materials
stone,Materials
waste,Materials
wax,Materials
wire,Materials
wood,Materials
addition,Mathematics
all,Mathematics
almost,Mathematics
angle,Mathematics
chance,Mathematics
circle,Mathematics
common,Mathematics
curve,Mathematics
distance,Mathematics
distribution,Mathematics
enough,Mathematics
even,Mathematics
every,Mathematics
first,Mathematics
increase,Mathematics
level,Mathematics
not,Mathematics
number,Mathematics
other,Mathematics
parallel,Mathematics
part,Mathematics
probable,Mathematics
range,Mathematics
ray,Mathematics
same,Mathematics
scale,Mathematics
slope,Mathematics
so,Mathematics
some,Mathematics
sort,Mathematics
space,Mathematics
square,Mathematics
tendency,Mathematics
unit,Mathematics
weight,Mathematics
amount,Mathematics
bit,Mathematics
certain,Mathematics
complex,Mathematics
degree,Mathematics
division,Mathematics
equal,Mathematics
knot,Mathematics
limit,Mathematics
mass,Mathematics
measure,Mathematics
much,Mathematics
of,Mathematics
only,Mathematics
point,Mathematics
possible,Mathematics
quite,Mathematics
relation,Mathematics
separate,Mathematics
than,Mathematics
together,Mathematics
band,Music
air,Nature
any,Nature
branch,Nature
cloud,Nature
crack,Nature
deep,Nature
disease,Nature
dry,Nature
dust,Nature
field,Nature
fire,Nature
flame,Nature
flower,Nature
force,Nature
garden,Nature
general,Nature
grass,Nature
heat,Nature
island,Nature
leaf,Nature
living,Nature
mist,Nature
mixed,Nature
mountain,Nature
noise,Nature
plant,Nature
rain,Nature
river,Nature
root,Nature
selection,Nature
sky,Nature
smell,Nature
smoke,Nature
snow,Nature
spring,Nature
swim,Nature
thunder,Nature
warm,Nature
weather,Nature
wind,Nature
among,Nature
and,Nature
blow,Nature
boiling,Nature
burn,Nature
burst,Nature
cold,Nature
conscious,Nature
danger,Nature
dead,Nature
death,Nature
delicate,Nature
digestion,Nature
earth,Nature
existence,Nature
fall,Nature
feather,Nature
ice,Nature
land,Nature
like,Nature
loud,Nature
moon,Nature
natural,Nature
physical,Nature
place,Nature
play,Nature
poison,Nature
sea,Nature
shock,Nature
sound,Nature
star,Nature
sun,Nature
tree,Nature
wave,Nature
well,Nature
wet,Nature
whistle,Nature
if,Not Categorized
able,People
angry,People
behavior,People
birth,People
boy,People
brother,People
chief,People
cry,People
daughter,People
dear,People
desire,People
discussion,People
family,People
fear,People
feeble,People
female,People
foolish,People
friend,People
girl,People
happy,People
hate,People
help,People
humor,People
I,People
judge,People
kind,People
kiss,People
laugh,People
love,People
male,People
mother,People
name,People
polish,People
poor,People
regret,People
responsible,People
say,People
secretary,People
self,People
serious,People
servant,People
sex,People
talk,People
tired,People
who,People
wise,People
baby,People
care,People
cruel,People
father,People
he,People
hope,People
man,People
married,People
owner,People
person,People
pleasure,People
porter,People
respect,People
sad,People
shame,People
sister,People
society,People
son,People
woman,People
you,People
young,People
attempt,Political
authority,Political
committee,Political
free,Political
law,Political
nation,Political
political,Political
protest,Political
request,Political
rule,Political
trouble,Political
act,Political
country,Political
crime,Political
flag,Political
government,Political
power,Political
public,Political
punishment,Political
representative,Political
safe,Political
secret,Political
yes,Political
please,Social
after,Time
again,Time
as,Time
at,Time
awake,Time
clock,Time
day,Time
end,Time
ever,Time
minute,Time
new,Time
now,Time
past,Time
present,Time
quick,Time
ready,Time
second,Time
slow,Time
start,Time
sudden,Time
then,Time
while,Time
will,Time
winter,Time
year,Time
before,Time
current,Time
early,Time
event,Time
frequent,Time
future,Time
hour,Time
last,Time
late,Time
long,Time
month,Time
morning,Time
night,Time
old,Time
rest,Time
rhythm,Time
still,Time
summer,Time
till,Time
time,Time
tomorrow,Time
waiting,Time
week,Time
when,Time
yesterday,Time
apparatus,Tools
blade,Tools
brush,Tools
comb,Tools
cut,Tools
grip,Tools
hammer,Tools
hook,Tools
pencil,Tools
pump,Tools
scissors,Tools
sharp,Tools
stick,Tools
whip,Tools
instrument,Tools
key,Tools
knife,Tools
pen,Tools
rod,Tools
screw,Tools
spade,Tools
boat,Transport
carriage,Transport
driving,Transport
far,Transport
flight,Transport
harbor,Transport
rail,Transport
road,Transport
sail,Transport
seat,Transport
station,Transport
transport,Transport
vessel,Transport
walk,Transport
brake,Transport
bridge,Transport
cart,Transport
journey,Transport
plane,Transport
run,Transport
ship,Transport
street,Transport
train,Transport
wheel,Transport
bent,Visual
bright,Visual
camera,Visual
clear,Visual
comparison,Visual
complete,Visual
dark,Visual
detail,Visual
different,Visual
dirty,Visual
edge,Visual
fixed,Visual
flat,Visual
fold,Visual
form,Visual
full,Visual
good,Visual
harmony,Visual
light,Visual
line,Visual
little,Visual
look,Visual
low,Visual
narrow,Visual
open,Visual
page,Visual
picture,Visual
see,Visual
shade,Visual
short,Visual
shut,Visual
sign,Visual
size,Visual
slip,Visual
smooth,Visual
song,Visual
special,Visual
surprise,Visual
tall,Visual
that,Visual
thick,Visual
view,Visual
watch,Visual
art,Visual
attraction,Visual
beautiful,Visual
broken,Visual
clean,Visual
design,Visual
great,Visual
hanging,Visual
high,Visual
hollow,Visual
map,Visual
mark,Visual
normal,Visual
ornament,Visual
quiet,Visual
rough,Visual
round,Visual
seem,Visual
small,Visual
smile,Visual
stiff,Visual
strange,Visual
thin,Visual
tight,Visual
trick,Visual
twist,Visual
very,Visual
wide,Visual
army,War
destruction,War
gun,War
private,War
war,War
attack,War
fight,War
military,War
peace,War
violent,War
